VALUE,BPS_CODE,BPS_NAME,GROUPVEG
-9999,-9999,NoData,NoData
1,1,Missing,Missing
11,11,Open Water,Open Water
12,12,Perennial Ice/Snow,Perennial Ice/Snow
31,31,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay
381,11250,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland
383,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse
384,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse
385,10040,North American Warm Desert Sparsely Vegetated Systems,Sparse
386,11490,Western Great Plains Shortgrass Prairie,Grassland
387,11470,Western Great Plains Foothill and Piedmont Grassland,Grassland
388,10720,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Shrubland
389,10930,Southern Colorado Plateau Sand Shrubland,Shrubland
391,10860,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland
392,10950,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrubland
393,10760,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,Shrubland
394,10780,Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrubland
395,10820,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland
396,11460,Southern Rocky Mountain Montane-Subalpine Grassland,Grassland
397,11080,Sonora-Mojave Semi-Desert Chaparral,Shrubland
398,10870,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Shrubland
399,11261,Inter-Mountain Basins Montane Sagebrush Steppe-Mountain Big Sagebrush,Shrubland
401,10660,Inter-Mountain Basins Mat Saltbush Shrubland,Shrubland
403,10640,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland
408,10020,Mediterranean California Sparsely Vegetated Systems,Sparse
416,10110,Rocky Mountain Aspen Forest and Woodland,Hardwood
417,10451,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer
418,10452,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,Conifer
419,10453,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Grand Fir,Conifer
420,10460,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer
421,10470,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer
422,10472,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest-Cedar Groves,Conifer
423,10530,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Conifer
424,10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer
425,10560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
426,10620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland
427,10650,Columbia Plateau Scabland Shrubland,Shrubland
428,10700,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland
429,10790,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland
430,10800,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland
