VALUE,BPS_CODE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW
-9999,-9999,na,NoData,NoData,NA,NA,NA,NA,NA,NA,NA,NA
381,11250,11250_6_12_13_15_16_17_18_23_24_25_28,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,117,NA,NA,117,100,NA,NA,IV-B
383,10010,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA
384,10060,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA
385,10040,10040,North American Warm Desert Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA
386,11490,11490_28,Western Great Plains Shortgrass Prairie,Grassland,13,61,NA,10,83,17,NA,II-B
387,11470,11470_28,Western Great Plains Foothill and Piedmont Grassland,Grassland,12,79,NA,10,87,13,NA,II-B
388,10720,10720_28,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Shrubland,125,NA,NA,125,100,NA,NA,IV-B
389,10930,10930_13_15_16_23_24_28,Southern Colorado Plateau Sand Shrubland,Shrubland,220,NA,NA,220,100,NA,NA,V-A
391,10860,10860_25,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland,72,203,NA,53,74,26,NA,III-A
392,10950,10950_25,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrubland,10,NA,49,8,83,NA,17,II-B
393,10760,10760_25,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,Shrubland,22,NA,NA,22,100,NA,NA,II-C
394,10780,10780_16_23_24_25,Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrubland,146,162,NA,77,53,47,NA,III-A
395,10820,10820_12_15_16_17_23_24,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,815,NA,NA,815,100,NA,NA,V-B
396,11460,11460_15_16_23_24_25_28,Southern Rocky Mountain Montane-Subalpine Grassland,Grassland,20,NA,21,10,52,NA,48,I-B
397,11080,11080_4_5_13_14_15_24_25,Sonora-Mojave Semi-Desert Chaparral,Shrubland,81,NA,NA,81,100,NA,NA,IV-A
398,10870,10870_4_6_12_13_14_15_17_24_25,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Shrubland,329,NA,NA,329,100,NA,NA,V-A
399,11261,11261_16_23_24,Inter-Mountain Basins Montane Sagebrush Steppe-Mountain Big Sagebrush,Shrubland,49,NA,NA,49,100,NA,NA,IV-A
401,10660,10660_16_23_24,Inter-Mountain Basins Mat Saltbush Shrubland,Shrubland,NA,NA,NA,NA,NA,NA,NA,NA
402,10950,10950_15,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrubland,10,NA,138,9,93,NA,7,II-B
403,10640,10640_15_16_17_23_24_27_28,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,239,119,NA,79,33,67,NA,III-A
404,10780,10780_15,Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrubland,282,NA,NA,282,100,NA,NA,V-A
407,10950,10950_14,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrubland,10,NA,40,8,80,NA,20,II-B
408,10020,10020,Mediterranean California Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA
416,10110,10110_6_10_12_17_18_19,Rocky Mountain Aspen Forest and Woodland,Hardwood,68,57,NA,31,46,54,NA,I-C
417,10451,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,13,38,49,I-C
418,10452,10452_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,Conifer,202,69,137,37,19,54,27,III-A
419,10453,10453_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Grand Fir,Conifer,223,106,NA,72,32,68,NA,III-A
420,10460,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,NA,184,46,54,NA,III-B
421,10470,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,NA,80,43,57,NA,III-A
422,10472,10472_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest-Cedar Groves,Conifer,374,1990,NA,315,84,16,NA,V-A
423,10530,10530_10_19,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Conifer,354,56,17,13,4,23,73,I-B
424,10550,10550_10_19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,205,412,NA,137,67,33,NA,IV-B
425,10560,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,NA,NA,181,100,NA,NA,IV-B
426,10620,10620_10_19_21_29_31,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,286,151,232,69,24,46,30,III-A
